UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS
63574a63-3334-4acf-b1f2-5acbd8ee1dac,Anabasis.1.en.txt,Tamos,char-offset:26084,PERSON,,,,,,,,,
71b3faed-e316-46f7-b6c9-3f9a16fee096,Anabasis.1.en.txt,Cyrus,char-offset:26175,PERSON,,,,,,,,,
09b2bda5-1d3a-46db-b83f-3119d28a9a7f,Anabasis.1.en.txt,Tamos,char-offset:26221,PERSON,,,,,,,,,
c3b2a460-a86d-445f-9748-eeb8e279ded5,Anabasis.1.en.txt,Tissaphernes,char-offset:26285,PERSON,,,,,,,,,
f44d5e77-0171-4a09-b209-72db56595717,Anabasis.1.en.txt,Cyrus,char-offset:26319,PERSON,,,,,,,,Cyrus,
c2735a9a-e252-469c-b935-eb79402f272e,Anabasis.1.en.txt,Tissaphernes,char-offset:26341,PERSON,,,,,,,,,
1c1fd5b6-69f1-4885-965c-272ae00da8cb,Anabasis.1.en.txt,Cheirisophus,char-offset:26359,PERSON,,,,,,,,,
0b00f432-eba0-4c8a-a07c-2461cfca2e9e,Anabasis.1.en.txt,Lacedaemonian,char-offset:26376,PERSON,,,,,,,,,
7d69daa5-3cf9-4383-8308-7e0cfa6ae0dc,Anabasis.1.en.txt,Cyrus,char-offset:26442,PERSON,,,,,,,,,
6283e24e-ffbb-4958-8c52-e6dc65186f2c,Anabasis.1.en.txt,Cyrus,char-offset:26552,PERSON,,,,,,,,,
1635e2b7-92e8-4a73-a43d-3ee3cf04c6bb,Anabasis.1.en.txt,Cyrus,char-offset:26597,PERSON,,,,,,,,,
68126edb-8ac4-4c75-a374-234096b21552,Anabasis.1.en.txt,Abrocomas,char-offset:26689,PERSON,,,,,,,,,
a5db82ba-3486-4b5a-879f-8d9d368baf91,Anabasis.1.en.txt,Cyrus,char-offset:26728,PERSON,,,,,,,,,
b2d7b65f-b679-4daf-a8b2-f7adbc6c3a1a,Anabasis.1.en.txt,Abrocomas,char-offset:26751,PERSON,,,,,,,,,
a9284b31-12b4-4388-81f1-6e11a93992f1,Anabasis.1.en.txt,Syennesis,char-offset:26997,PERSON,,,,,,,,Syennesis,
3286080b-a946-4545-800a-ee8a0658e3b3,Anabasis.1.en.txt,King's,char-offset:27131,PERSON,,,,,,,,Artaxerxes,Referring to the court of Artaxerxes
93e87344-18fd-4ec3-ac3b-24cc0402161d,Anabasis.1.en.txt,Cyrus,char-offset:27550,PERSON,,,,,,,,Cyrus,
8324956d-b655-4abd-b1d1-5d00fb0fb28a,Anabasis.1.en.txt,Cyrus,char-offset:27760,PERSON,,,,,,,,Cyrus,
d3068448-e579-45e2-b06b-956e0246f7d5,Anabasis.1.en.txt,Abrocomas,char-offset:27775,PERSON,,,,,,,,Abrocomas,
1f2a5360-986a-41ac-a27b-ac8a86bc2cd0,Anabasis.1.en.txt,Abrocomas,char-offset:27820,PERSON,,,,,,,,,
2f7e6ba6-e3f9-43b6-925d-e98313e9f541,Anabasis.1.en.txt,Cyrus,char-offset:27884,PERSON,,,,,,,,Cyrus,
b0448af5-b3cc-48c3-b032-7b58d611e90c,Anabasis.1.en.txt,Cyrus,char-offset:28064,PERSON,,,,,,,,Cyrus,
7d1c7054-1c66-4424-9aa8-fd331d64976f,Anabasis.1.en.txt,Xenias,char-offset:28284,PERSON,,,,,,,,,
38e23602-198b-4a63-9cdf-3e2ade1c2f55,Anabasis.1.en.txt,Pasion,char-offset:28308,PERSON,,,,,,,,,
f13dbfbd-11b3-451e-b541-c474b339f7ff,Anabasis.1.en.txt,Clearchus,char-offset:28532,PERSON,,,,,,,,,
14d0facc-36f6-4bf4-80f8-0519639523b4,Anabasis.1.en.txt,Cyrus,char-offset:28637,PERSON,,,,,,,,Cyrus,
dd3dc685-4051-487f-abb4-05fdabfbb870,Anabasis.1.en.txt,Clearchus,char-offset:28655,PERSON,,,,,,,,Clearchus,
7aa0fa8a-bf08-4cea-8100-31ba590e38ab,Anabasis.1.en.txt,Cyrus,char-offset:28732,PERSON,,,,,,,,Cyrus,
354f13c7-abe6-48f5-ac50-ea4fbdb57c44,Anabasis.1.en.txt,Xenias,char-offset:28988,PERSON,,,,,,,,,
1a9238a4-7e7f-4d80-908f-63d5fc022128,Anabasis.1.en.txt,Pasion,char-offset:28999,PERSON,,,,,,,,,
2ef93daa-6f19-4296-8b77-a658ceef0410,Anabasis.1.en.txt,Cyrus,char-offset:29937,PERSON,,,,,,,,Cyrus,
83baf075-ce67-47be-8e1d-6bc605a8834c,Anabasis.1.en.txt,Cyrus,char-offset:30024,PERSON,,,,,,,,Cyrus,
151da571-ae16-4a53-b9fd-460df99f1169,Anabasis.1.en.txt,Parysatis,char-offset:30318,PERSON,,,,,,,,,
1e90f513-a531-4d56-a558-38422c95a4eb,Anabasis.1.en.txt,Cyrus,char-offset:30393,PERSON,,,,,,,,Cyrus,
e9a850cd-760a-447e-ab86-f9abc1c32910,Anabasis.1.en.txt,Belesys,char-offset:30532,PERSON,,,,,,,,,
23844cf2-55a9-4584-9cc2-c185bc72347a,Anabasis.1.en.txt,Cyrus,char-offset:30650,PERSON,,,,,,,,Cyrus,
c2043a47-2d27-4c44-9349-3ec528a7cf8d,Anabasis.1.en.txt,Cyrus,char-offset:30921,PERSON,,,,,,,,Cyrus,
a6fa875a-d8f1-4cf3-b6e4-260f4aae2084,Anabasis.1.en.txt,Cyrus,char-offset:31459,PERSON,,,,,,,,Cyrus,
77b0fb22-d935-4583-8b62-3867fd5643e3,Anabasis.1.en.txt,Cyrus,char-offset:31601,PERSON,,,,,,,,,
ed180a48-fead-4928-9845-4416cf4adde4,Anabasis.1.en.txt,Cyrus,char-offset:31681,PERSON,,,,,,,,,
27b1fc8f-ea9d-41aa-a29d-68fdcc99817e,Anabasis.1.en.txt,Menon,char-offset:31935,PERSON,,,,,,,,,
ff6e28fb-230d-460f-b854-31f46717d75c,Anabasis.1.en.txt,Cyrus,char-offset:32037,PERSON,,,,,,,,Cyrus,
51afc531-1e5d-4775-96c1-ccf344c344bc,Anabasis.1.en.txt,Cyrus,char-offset:32224,PERSON,,,,,,,,Cyrus,
